<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.trdos.cores.Ma dummyMainMethod_com_trdos_cores_Ma(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.trdos.cores.Dc dummyMainMethod_com_trdos_cores_Dc(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.trdos.cores.Da dummyMainMethod_com_trdos_cores_Da(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.trdos.cores.Sb dummyMainMethod_com_trdos_cores_Sb(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.trdos.cores.MainActivity dummyMainMethod_com_trdos_cores_MainActivity(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.trdos.cores.Db dummyMainMethod_com_trdos_cores_Db(android.content.Intent)>
<dummyMainClass: com.trdos.cores.Ma dummyMainMethod_com_trdos_cores_Ma(android.content.Intent)> -> <com.trdos.cores.Ma: void <clinit>()>
<dummyMainClass: com.trdos.cores.Dc dummyMainMethod_com_trdos_cores_Dc(android.content.Intent)> -> <com.trdos.cores.Dc: void <clinit>()>
<dummyMainClass: com.trdos.cores.Sb dummyMainMethod_com_trdos_cores_Sb(android.content.Intent)> -> <com.trdos.cores.Sb: void <clinit>()>
<dummyMainClass: com.trdos.cores.MainActivity dummyMainMethod_com_trdos_cores_MainActivity(android.content.Intent)> -> <com.trdos.cores.MainActivity: void <clinit>()>
<dummyMainClass: com.trdos.cores.Db dummyMainMethod_com_trdos_cores_Db(android.content.Intent)> -> <com.trdos.cores.Db: void <clinit>()>
<com.trdos.cores.Ma: void <clinit>()> -> <java.lang.String: void <clinit>()>
<com.trdos.cores.Dc: void <clinit>()> -> <java.lang.String: void <clinit>()>
<com.trdos.cores.Sb: void <clinit>()> -> <java.lang.String: void <clinit>()>
<com.trdos.cores.MainActivity: void <clinit>()> -> <java.lang.String: void <clinit>()>
<com.trdos.cores.Db: void <clinit>()> -> <java.lang.String: void <clinit>()>
<com.trdos.cores.Ma: void <clinit>()> -> <java.lang.Class: boolean desiredAssertionStatus()>
<java.lang.Class: boolean desiredAssertionStatus()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.RuntimeException: void <init>(java.lang.String)> -> <java.lang.Exception: void <init>()>
<java.lang.Exception: void <init>()> -> <java.lang.Throwable: void <init>()>
<java.lang.Throwable: void <init>()> -> <java.lang.Object: void <init>()>
<java.lang.Object: void <init>()> -> <java.lang.Object: void finalize()>
<com.trdos.cores.MainActivity: void <clinit>()> -> <java.lang.String: void <init>(char[])>
<java.lang.String: void <init>(char[])> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.String: void <init>(char[])> -> <java.lang.Object: void <init>()>
<com.trdos.cores.Db: void <clinit>()> -> <java.lang.String: void <init>(char[])>
